bioguide,type,firstName,middleInitial,lastName,party,state,district
A000055,rep,Robert B.,B.,Aderholt,R,AL,4
A000148,rep,Jake,,Auchincloss ,D,MA,4
A000369,rep,Mark,,Amodei,R,NV,2
A000370,rep,Alma,,Adams,D,NC,12
A000371,rep,Pete,,Aguilar,D,CA,33
A000372,rep,Rick,,Allen,R,GA,12
A000375,rep,Jodey,,Arrington,R,TX,19
A000376,rep,Colin,,Allred,D,TX,32
A000377,rep,Kelly,,Armstrong,R,ND,0
A000379,rep,Mark,,Alford,R,MO,4
B000490,rep,Sanford D.,D.,Bishop Jr.,D,GA,2
B000574,rep,Earl,,Blumenauer,D,OR,3
B000668,rep,Cliff,,Bentz,R,OR,2
B000740,rep,Stephanie I.,I.,Bice,R,OK,5
B000825,rep,Lauren,,Boebert,R,CO,3
B001230,sen,Tammy ,,Baldwin,D,WI,
B001223,rep,Jamaal,,Bowman,D,NY,16
B001224,rep,Cori,,Bush,D,MO,1
B001261,sen,John ,,Barrasso,R,WY,
B001267,sen,Michael F. ,F.,Bennet,D,CO,
B001243,sen,Marsha ,,Blackburn,R,TN,
B001248,rep,Michael C.,C.,Burgess,R,TX,26
B001257,rep,Gus M.,M.,Bilirakis,R,FL,12
B001260,rep,Vern,,Buchanan,R,FL,16
B001277,sen,Richard ,,Blumenthal,D,CT,
B001288,sen,Cory ,,Booker,D,NJ,
B001275,rep,Larry,,Bucshon,R,IN,8
B001236,sen,John ,,Boozman,R,AR,
B001278,rep,Suzanne,,Bonamici,D,OR,1
B001281,rep,Joyce,,Beatty,D,OH,3
B001282,rep,Andy,,Barr,R,KY,6
B001285,rep,Julia,,Brownley,D,CA,26
B001287,rep,Ami,,Bera,D,CA,6
B001310,sen,Mike,,Braun,R,IN,
B001291,rep,Brian,,Babin,R,TX,36
B001292,rep,Don,,Beyer,D,VA,8
B001295,rep,Mike,,Bost,R,IL,12
B001296,rep,Brendan,,Boyle,D,PA,2
B001297,rep,Ken,,Buck,R,CO,4
B001298,rep,Don,,Bacon,R,NE,2
B001299,rep,Jim,,Banks,R,IN,3
B001300,rep,Nanette,,Barragán,D,CA,44
B001301,rep,Jack,,Bergman,R,MI,1
B001302,rep,Andy,,Biggs,R,AZ,5
B001303,rep,Lisa,,Blunt Rochester,D,DE,0
B001319,sen,Katie,,Britt,R,AL,
B001306,rep,Troy,,Balderson,R,OH,12
B001307,rep,Jim,,Baird,R,IN,4
B001309,rep,Tim,,Burchett,R,TN,2
B000944,sen,Sherrod ,,Brown,D,OH,
B001311,rep,Dan,,Bishop,R,NC,8
B001313,rep,Shontel,,Brown,D,OH,11
B001314,rep,Aaron,,Bean,R,FL,4
B001315,rep,Nikki ,,Budzinski,D,IL,13
B001316,rep,Eric ,,Burlison,R,MO,7
B001317,rep,Josh,,Brecheen,R,OK,2
B001318,rep,Becca,,Balint,D,VT,0
B001305,sen,Ted ,,Budd,R,NC,
C000059,rep,Ken,,Calvert,R,CA,41
C000127,sen,Maria ,,Cantwell,D,WA,
C001047,sen,Shelley Moore ,,Capito,R,WV,
C000141,sen,Benjamin L. ,L.,Cardin,D,MD,
C000537,rep,James E.,E.,Clyburn,D,SC,6
C000174,sen,Thomas R. ,R.,Carper,D,DE,
C001070,sen,Robert P. ,P.,Casey Jr.,D,PA,
C001039,rep,Kat,,Cammack,R,FL,3
C001075,sen,Bill ,,Cassidy,R,LA,
C001051,rep,John,,Carter,R,TX,31
C001053,rep,Tom,,Cole,R,OK,4
C001054,rep,Jerry L.,L.,Carl,R,AL,1
C001055,rep,Ed,,Case,D,HI,1
C001035,sen,Susan ,,Collins,R,ME,
C001059,rep,Jim,,Costa,D,CA,21
C001061,rep,Emanuel,,Cleaver II,D,MO,5
C001063,rep,Henry,,Cuellar,D,TX,28
C001066,rep,Kathy,,Castor,D,FL,14
C001067,rep,Yvette D.,D.,Clarke,D,NY,9
C001068,rep,Steve,,Cohen,D,TN,9
C001069,rep,Joe,,Courtney,D,CT,2
C001088,sen,Christopher A. ,A.,Coons,D,DE,
C001072,rep,Andre,,Carson,D,IN,7
C001056,sen,John ,,Cornyn,R,TX,
C001078,rep,Gerald E.,E.,Connolly,D,VA,11
C001080,rep,Judy,,Chu,D,CA,28
C001084,rep,David N.,N.,Cicilline,D,RI,1
C001087,rep,"Eric A. ""Rick""",,Crawford,R,AR,1
C001113,sen,Catherine ,,Cortez Masto,D,NV,
C001090,rep,Matthew,,Cartwright,D,PA,8
C001091,rep,Joaquin,,Castro,D,TX,20
C001095,sen,Tom ,,Cotton,R,AR,
C001096,sen,Kevin ,,Cramer,R,ND,
C001097,rep,Tony,,Cárdenas,D,CA,29
C000880,sen,Mike ,,Crapo,R,ID,
C001101,rep,Katherine M.,M.,Clark,D,MA,5
C001103,rep,"Earl L. ""Buddy""",,Carter,R,GA,1
C001108,rep,James,,Comer,R,KY,1
C001110,rep,J. Luis,,Correa,D,CA,46
C001112,rep,Salud,,Carbajal,D,CA,24
C001098,sen,Ted ,,Cruz,R,TX,
C001114,rep,John,,Curtis,R,UT,3
C001115,rep,Michael,,Cloud,R,TX,27
C001116,rep,Andrew S.,S.,Clyde,R,GA,9
C001117,rep,Sean,,Casten,D,IL,6
C001118,rep,Ben,,Cline,R,VA,6
C001119,rep,Angie,,Craig,D,MN,2
C001120,rep,Dan,,Crenshaw,R,TX,2
C001121,rep,Jason,,Crow,D,CO,6
C001125,rep,Troy,,Carter,D,LA,2
C001126,rep,Mike,,Carey,R,OH,15
C001127,rep,Sheila,,Cherfilus-McCormick,D,FL,20
C001129,rep,Mike,,Collins,R,GA,10
C001130,rep,Jasmine,,Crockett,D,TX,30
C001131,rep,Greg,,Casar,D,TX,35
C001132,rep,Eli,,Crane,R,AZ,2
C001133,rep,Juan,,Ciscomani,R,AZ,6
C001134,rep,Yadira,,Caraveo,D,CO,8
C001135,rep,Lori,,Chavez-DeRemer,R,OR,5
D000032,rep,Byron,,Donalds,R,FL,19
D000096,rep,Danny K.,K.,Davis,D,IL,7
D000197,rep,Diana,,DeGette,D,CO,1
D000216,rep,Rosa L.,L.,DeLauro,D,CT,3
D000230,rep,Don,,Davis,D,NC,1
D000399,rep,Lloyd,,Doggett,D,TX,37
D000530,rep,Chris,,Deluzio,D,PA,17
D000618,sen,Steve ,,Daines,R,MT,
D000594,rep,Monica,,De La Cruz,R,TX,15
D000600,rep,Mario,,Diaz-Balart,R,FL,26
D000615,rep,Jeff,,Duncan,R,SC,3
D000616,rep,Scott,,DesJarlais,R,TN,4
D000617,rep,Suzan,,DelBene,D,WA,1
D000622,sen,Tammy ,,Duckworth,D,IL,
D000563,sen,Richard J. ,J.,Durbin,D,IL,
D000623,rep,Mark,,DeSaulnier,D,CA,10
D000624,rep,Debbie,,Dingell,D,MI,6
D000626,rep,Warren,,Davidson,R,OH,8
D000628,rep,Neal,,Dunn,R,FL,2
D000629,rep,Sharice,,Davids,D,KS,3
D000631,rep,Madeleine,,Dean,D,PA,4
D000632,rep,Anthony P.,P.,D'Esposito,R,NY,4
D000633,rep,John,,Duarte,R,CA,13
E000071,rep,Jake,,Ellzey,R,TX,6
E000215,rep,Anna G.,G.,Eshoo,D,CA,16
E000235,rep,Mike,,Ezell,R,MS,4
E000246,rep,Chuck,,Edwards,R,NC,11
E000294,rep,Tom,,Emmer,R,MN,6
E000295,sen,Joni ,,Ernst,R,IA,
E000296,rep,Dwight,,Evans,D,PA,3
E000297,rep,Adriano,,Espaillat,D,NY,13
E000298,rep,Ron,,Estes,R,KS,4
E000299,rep,Veronica,,Escobar,D,TX,16
F000062,sen,Dianne ,,Feinstein,D,CA,
F000246,rep,Pat,,Fallon,R,TX,4
F000446,rep,Randy,,Feenstra,R,IA,4
F000450,rep,Virginia,,Foxx,R,NC,5
F000454,rep,Bill,,Foster,D,IL,11
F000459,rep,"Charles J. ""Chuck""",,Fleischmann,R,TN,3
F000462,rep,Lois,,Frankel,D,FL,22
F000479,sen,John,,Fetterman,D,PA,
F000465,rep,Drew,,Ferguson,R,GA,3
F000466,rep,Brian,,Fitzpatrick,R,PA,1
F000468,rep,Lizzie,,Fletcher,D,TX,7
F000469,rep,Russ,,Fulcher,R,ID,1
F000470,rep,Michelle,,Fischbach,R,MN,7
F000471,rep,Scott,,Fitzgerald,R,WI,5
F000472,rep,C. Scott,,Franklin,R,FL,18
F000474,rep,Mike,,Flood,R,NE,1
F000475,rep,Brad,,Finstad,R,MN,1
F000476,rep,Maxwell,,Frost,D,FL,10
F000477,rep,Valerie,,Foushee,D,NC,4
F000478,rep,Russell,,Fry,R,SC,7
F000463,sen,Deb ,,Fischer,R,NE,
G000061,rep,Mike,,Garcia,R,CA,27
G000555,sen,Kirsten ,,Gillibrand,D,NY,
G000377,rep,Kay,,Granger,R,TX,12
G000359,sen,Lindsey O. ,O.,Graham,R,SC,
G000546,rep,Sam,,Graves,R,MO,6
G000551,rep,Ra�l,,Grijalva,D,AZ,7
G000553,rep,Al,,Green,D,TX,9
G000386,sen,Charles E. ,E.,Grassley,R,IA,
G000558,rep,Brett,,Guthrie,R,KY,2
G000559,rep,John,,Garamendi,D,CA,8
G000565,rep,Paul A.,,Gosar,R,AZ,9
G000568,rep,H. Morgan,,Griffith,R,VA,9
G000574,rep,Ruben,,Gallego,D,AZ,3
G000576,rep,Glenn,,Grothman,R,WI,6
G000577,rep,Garret,,Graves,R,LA,6
G000578,rep,Matt,,Gaetz,R,FL,1
G000579,rep,Mike,,Gallagher,R,WI,8
G000581,rep,Vicente,,Gonzalez,D,TX,34
G000583,rep,Josh,,Gottheimer,D,NJ,5
G000585,rep,Jimmy,,Gomez,D,CA,34
G000586,rep,"Jesús ""Chuy""",,Garcia,D,IL,4
G000587,rep,Sylvia,,Garcia,D,TX,29
G000589,rep,Lance,,Gooden,R,TX,5
G000590,rep,Mark,,Green,R,TN,7
G000591,rep,Michael,,Guest,R,MS,3
G000592,rep,Jared,,Golden,D,ME,2
G000593,rep,Carlos A. ,A.,Giménez,R,FL,28
G000594,rep,Tony,,Gonzales,R,TX,23
G000595,rep,Bob,,Good,R,VA,5
G000596,rep,Marjorie Taylor,,Greene,R,GA,14
G000597,rep,Andrew R.,,Garbarino,R,NY,2
G000598,rep,Robert,,Garcia,D,CA,42
G000599,rep,Daniel,,Goldman,D,NY,10
G000600,rep,Marie,,Gluesenkamp Perez,D,WA,3
H000601,sen,Bill,,Hagerty,R,TN,
H001076,sen,Margaret Wood ,,Hassan,D,NH,
H000874,rep,Steny H.,,Hoyer,D,MD,5
H001038,rep,Brian,,Higgins,D,NY,26
H001089,sen,Josh ,,Hawley,R,MO,
H001046,sen,Martin ,,Heinrich,D,NM,
H001047,rep,Jim,,Himes,D,CT,4
H001052,rep,Andy,,Harris,R,MD,1
H001058,rep,Bill,,Huizenga,R,MI,4
H000273,sen,John,,Hickenlooper,D,CO,
H001066,rep,Steven,,Horsford,D,NV,4
H001067,rep,Richard,,Hudson,R,NC,9
H001068,rep,Jared,,Huffman,D,CA,2
H001072,rep,French,,Hill,R,AR,2
H001042,sen,Mazie ,,Hirono,D,HI,
H001077,rep,Clay,,Higgins,R,LA,3
